subject_id,best_channel,sdrr_ch0,long_ibi_threshold_ch0,rmssd_ch0,pnn50_ch0,consistency_ch0,total_score_ch0,sdrr_ch1,long_ibi_threshold_ch1,rmssd_ch1,pnn50_ch1,consistency_ch1,total_score_ch1,sdrr_ch2,long_ibi_threshold_ch2,rmssd_ch2,pnn50_ch2,consistency_ch2,total_score_ch2,best_sdrr,best_long_ibi_threshold,best_rmssd,best_pnn50,best_consistency,best_total_score
1,ch0,24.04142985,0,27.159987,10.37234043,1055.837552,1061.112818,107.4815413,1,128.022284,11.84971098,1054.837552,1094.383095,,,,,2064.130435,,24.04142985,0,27.159987,10.37234043,1055.837552,1061.112818
2,ch0,1327.06036,27,1792.223286,71.17117117,507.3705357,956.7336668,1270.802679,28,1682.305289,61.01694915,701.5324352,1156.673995,1324.275001,28,1766.521678,66.96428571,516.5726138,980.1046325,1327.06036,27,1792.223286,71.17117117,507.3705357,956.7336668
3,ch0,15.77068575,0,18.7497495,2.805611222,14.51300075,19.50600614,37.42423956,0,48.85407259,4.489795918,14.56822811,25.32053341,34.65394245,0,45.65587968,4.471544715,13.67186022,23.26209047,15.77068575,0,18.7497495,2.805611222,14.51300075,19.50600614
4,ch0,36.26321325,0,44.73667813,8.796296296,42.87440758,52.37113362,95.25533781,2,132.7708275,14.48931116,43.23696682,68.8622353,74.08914529,1,102.5302111,17.81472684,43.22511848,59.14179482,36.26321325,0,44.73667813,8.796296296,42.87440758,52.37113362
6,ch0,36.20249575,0,37.84845432,7.142857143,45.38759406,59.09443407,78.1404217,1,110.0171469,16.16438356,50.5664673,67.61612379,90.21941698,1,123.6972566,21.18644068,60.57323944,80.35080776,36.20249575,0,37.84845432,7.142857143,45.38759406,59.09443407
7,ch0,39.55377713,0,45.56667736,5.214723926,19.79357798,33.95665447,40.9742872,0,46.48165598,5.504587156,20.87375531,35.85492094,38.88986957,0,44.86137184,7.012195122,28.48384706,41.43693315,39.55377713,0,45.56667736,5.214723926,19.79357798,33.95665447
8,ch2,21.9286933,0,9.669364715,0,29.37485677,46.46886771,,,,,39.75647668,,52.59611617,0,75.83458536,12.04819277,31.76863915,40.42336625,52.59611617,0,75.83458536,12.04819277,31.76863915,40.42336625
9,ch1,105.7902241,2,145.7108316,45.91029024,62.55789474,76.53755798,38.26449906,0,29.90013841,3.916449086,37.20372807,58.55993339,66.74845848,1,78.17796538,9.375,39.89583333,64.86780913,38.26449906,0,29.90013841,3.916449086,37.20372807,58.55993339
10,ch0,31.15568483,0,34.09102004,12.47058824,36.99087604,44.86575673,112.3893581,3,157.3132442,7.901234568,47.59359606,83.37571475,69.68219492,2,88.89518669,6.265060241,39.6435854,65.74565686,31.15568483,0,34.09102004,12.47058824,36.99087604,44.86575673
11,ch0,35.08711883,0,31.48341857,8.870967742,34.11076404,49.02068971,37.52322245,0,31.60810023,2.8,34.02022906,54.3394014,87.65750091,1,121.0264809,24.38016529,48.43621399,65.39039178,35.08711883,0,31.48341857,8.870967742,34.11076404,49.02068971
12,ch0,639.1955802,10,851.5901973,32.34567901,272.5743021,489.8019441,,,,,300.1046051,,,,,,340.6616162,,639.1955802,10,851.5901973,32.34567901,272.5743021,489.8019441
14,ch0,36.91238464,0,39.74195037,18.65079365,49.85665943,57.57267205,36.50640485,0,32.62401023,2.186878728,48.27698275,67.37794312,,,,,80.69515012,,36.91238464,0,39.74195037,18.65079365,49.85665943,57.57267205
15,ch0,169.4854711,6,233.1169733,56.65634675,170.8024691,207.4012803,174.8558599,6,238.1835378,60.52631579,175.6203704,213.1213035,210.2769613,8,293.3878135,69.09090909,187.1820988,232.2196988,169.4854711,6,233.1169733,56.65634675,170.8024691,207.4012803
16,ch0,263.1838307,10,365.2203251,64.38356164,277.1650628,345.5469502,,,,,306.6961326,,,,,,304.7783225,,263.1838307,10,365.2203251,64.38356164,277.1650628,345.5469502
17,ch2,90.78215021,0,118.1718517,33.65384615,62.61223151,77.48153278,36.61436019,0,37.78929859,3.886010363,40.80624193,56.58294764,28.76486436,0,29.06133785,2.088772846,40.48307292,53.67288192,28.76486436,0,29.06133785,2.088772846,40.48307292,53.67288192
19,ch2,,,,,196.6779359,,220.6913993,10,309.602707,56.6552901,187.0186772,244.5810779,152.5741438,4,208.6852703,53.894081,180.774905,210.0593731,152.5741438,4,208.6852703,53.894081,180.774905,210.0593731
21,ch0,65.93701468,0,75.33975187,23.74301676,144.3359399,160.7315702,,,,,154.0237333,,,,,,204.1713615,,65.93701468,0,75.33975187,23.74301676,144.3359399,160.7315702
22,ch0,1671.418679,31,2317.536496,53.33333333,995.4248582,1543.408622,,,,,985.2417219,,,,,,1028.163269,,1671.418679,31,2317.536496,53.33333333,995.4248582,1543.408622
23,ch0,83.9102793,1,106.8984191,10.93333333,40.42711059,67.42151369,159.2210375,1,220.898027,13.67292225,44.94385027,88.87941316,158.7360628,1,218.7842407,13.6,44.77737797,89.32132041,83.9102793,1,106.8984191,10.93333333,40.42711059,67.42151369
25,ch1,103.3312458,0,115.545478,39.22155689,102.774182,128.7219104,91.32758934,1,97.54057942,27.43902439,96.22774238,127.0655298,124.3403765,3,160.580991,39.7515528,103.6888545,133.8629591,91.32758934,1,97.54057942,27.43902439,96.22774238,127.0655298
26,ch1,108.9029896,1,148.9442089,27.22371968,69.10273973,91.92176501,89.94365534,2,116.1084747,8.894878706,58.4260274,89.86800603,130.9041263,5,174.7503635,13.73626374,64.52876712,111.1895798,89.94365534,2,116.1084747,8.894878706,58.4260274,89.86800603
27,ch1,,,,,188.1257764,,157.800904,5,214.6357957,45.95300261,161.8718758,199.3783806,154.9370833,6,199.465442,42.78074866,161.3579006,207.1718886,157.800904,5,214.6357957,45.95300261,161.8718758,199.3783806
28,ch0,50.09378762,0,52.15750012,23.37349398,61.03753717,73.36582774,101.9223368,2,130.053767,21.96969697,64.16876574,94.07937052,112.9012939,2,150.8353623,26.13065327,63.22897294,91.64725906,50.09378762,0,52.15750012,23.37349398,61.03753717,73.36582774
30,ch0,22.70284164,0,18.00780803,2.875399361,27.32521734,39.58645528,37.20429024,0,43.42748015,5.396825397,31.56170382,44.35384129,132.2205704,3,175.9414097,17.28813559,44.13851351,85.74431129,22.70284164,0,18.00780803,2.875399361,27.32521734,39.58645528
31,ch1,150.4200555,6,201.6501895,18.75,49.63821138,101.8581722,47.30741086,0,42.97817715,10.82474227,41.24618309,61.65213423,58.97649901,0,54.75573124,9.895833333,36.78683349,63.43755021,47.30741086,0,42.97817715,10.82474227,41.24618309,61.65213423
32,ch0,92.53362892,0,165.1355402,75.74123989,49.55913978,21.65437867,89.92857799,0,160.0342197,74.66307278,81.22446237,53.80439411,92.35707882,0,164.0459882,74.93261456,61.79704301,34.66482044,92.53362892,0,165.1355402,75.74123989,49.55913978,21.65437867
33,ch1,62.57124312,0,56.42278568,19.74110032,66.06451613,90.55381625,73.44171825,0,73.65829805,22.75641026,61.02667732,86.26104141,98.0677513,1,123.2880512,30.40752351,69.19119345,92.41115738,73.44171825,0,73.65829805,22.75641026,61.02667732,86.26104141
34,ch0,44.04630495,0,29.15827718,7.692307692,3.828125,29.44913751,42.78772289,0,23.45548005,4.558404558,2.197443182,30.97822377,42.81339764,0,23.51595203,4.843304843,2.161931818,30.79570102,44.04630495,0,29.15827718,7.692307692,3.828125,29.44913751
35,ch2,,,,,9761.55,,54.12316451,1,64.90346864,8.43373494,4894.042788,4913.497351,43.49874586,0,46.21972693,7.655502392,4893.992788,4910.55392,43.49874586,0,46.21972693,7.655502392,4893.992788,4910.55392
36,ch1,177.1234556,8,235.3731469,46.64634146,164.8241209,216.9378323,166.6938409,4,220.6617081,43.40175953,163.3400954,206.0022024,271.0791387,16,367.4825872,56.08974359,188.7204473,280.0134206,166.6938409,4,220.6617081,43.40175953,163.3400954,206.0022024
37,ch0,57.5061008,0,79.90629616,21.70900693,69.50269803,76.20114728,73.07883812,0,102.3054819,27.20930233,72.63628581,80.95773182,137.1873809,1,191.7539811,41.32653061,89.03689567,111.6840207,57.5061008,0,79.90629616,21.70900693,69.50269803,76.20114728
39,ch0,95.40185836,1,121.6016908,32.46073298,89.07228063,109.4429271,184.6294254,6,259.1512771,18.8172043,99.99503344,157.6402181,254.2823025,11,353.1939538,26.76056338,109.2710674,195.5761113,95.40185836,1,121.6016908,32.46073298,89.07228063,109.4429271
40,ch0,30.45631522,0,19.45544851,3.340757238,7.061111111,26.11932346,30.23503419,0,18.69226821,2.89532294,6.987777778,26.4290164,39.04728424,0,40.89055854,6.444444444,13.13777778,28.51756052,30.45631522,0,19.45544851,3.340757238,7.061111111,26.11932346
41,ch0,27.33470278,0,14.86852182,1.176470588,1.568075117,20.8802817,26.98932128,0,13.18805163,0.470588235,1.254694836,21.41469618,26.97798544,0,13.18510746,0.705882353,1.102112676,21.13460321,27.33470278,0,14.86852182,1.176470588,1.568075117,20.8802817
42,ch1,58.86972852,0,51.41764204,6.956521739,35.74890892,65.43155555,42.621804,0,38.54461461,2.949852507,26.83382353,48.70839397,46.15966638,0,41.69511186,3.823529412,26.82685009,50.22719584,42.621804,0,38.54461461,2.949852507,26.83382353,48.70839397
43,ch2,35.53359597,0,50.09243112,11.25827815,14.83820153,19.69644286,19.06819339,0,15.65013312,0.666666667,10.32375708,21.23355058,29.39431941,0,38.52222914,5.567928731,11.54333333,18.8925738,29.39431941,0,38.52222914,5.567928731,11.54333333,18.8925738
44,ch1,659.0870747,45,880.734875,80.5,654.0498285,922.5194657,778.6749718,46,1057.547876,73.11827957,610.6096111,915.951505,758.2808921,50,914.8559324,72.67759563,599.7717391,964.2858672,778.6749718,46,1057.547876,73.11827957,610.6096111,915.951505
45,ch0,1385.855255,17,1936.440963,31.71641791,887.1074317,1322.883996,,,,,999.7674419,,,,,,840.2469666,,1385.855255,17,1936.440963,31.71641791,887.1074317,1322.883996
46,ch2,42.49821804,0,43.16233248,5.744125326,24.28501333,42.33000247,59.15331461,1,70.32335092,5.789473684,20.59711286,43.69401517,42.49357378,0,44.61883363,6.806282723,18.7220212,35.50303681,42.49357378,0,44.61883363,6.806282723,18.7220212,35.50303681
47,ch0,153.3073726,4,205.2803717,38.01652893,104.5291759,144.1880982,166.2928947,5,213.9261778,18.71101871,107.9419666,167.916263,,,,,126.6267442,,153.3073726,4,205.2803717,38.01652893,104.5291759,144.1880982
48,ch1,,,,,1459.947368,,163.1254334,4,220.6446087,12.24489796,806.533641,861.2143211,,,,,800.91522,,163.1254334,4,220.6446087,12.24489796,806.533641,861.2143211
49,ch0,430.0627734,20,538.8609963,24.45820433,588.7689593,777.1721324,,,,,777.1826347,,,,,,762.9276419,,430.0627734,20,538.8609963,24.45820433,588.7689593,777.1721324
50,ch1,21.96024015,0,10.97188921,0.226244344,5.972850679,22.33402405,33.49282349,0,42.90011074,19.95464853,10.60180995,12.66725382,21.74960991,0,9.943263082,0,5.859728507,22.63770687,33.49282349,0,42.90011074,19.95464853,10.60180995,12.66725382
51,ch2,,,,,4647.666667,,,,,,4484.300478,,272.3410836,4,391.4633951,27.17391304,4606.559737,4677.582167,272.3410836,4,391.4633951,27.17391304,4606.559737,4677.582167
52,ch0,51.21476641,0,61.90511764,11.28205128,28.96790048,43.58908243,54.55948881,0,67.70077453,8.974358974,28.97312241,45.19504446,79.5584529,1,104.0204244,12.56544503,38.11749347,61.38301166,51.21476641,0,61.90511764,11.28205128,28.96790048,43.58908243
53,ch1,49.91854955,0,54.63332803,9.042553191,26.93632889,45.01693783,35.99881578,0,41.41646254,2.445652174,24.84552846,38.91328687,37.93607683,0,31.57019828,2.956989247,23.9065186,44.57900166,35.99881578,0,41.41646254,2.445652174,24.84552846,38.91328687
54,ch2,44.9917579,0,54.37686124,13.92405063,26.32220834,37.1635103,24.85116454,0,19.76275959,1.538461538,22.5741688,36.77472277,35.38602028,0,40.19515531,5.867346939,22.7684999,35.12326906,35.38602028,0,40.19515531,5.867346939,22.7684999,35.12326906
55,ch0,27.77578101,0,27.28716729,2.625298329,2011.430059,2024.249607,,,,,3995.176471,,65.51312956,1,88.88565392,7.913669065,2005.253589,2024.367057,27.77578101,0,27.28716729,2.625298329,2011.430059,2024.249607
56,ch2,16.32437431,0,10.50217468,0,20.64490418,31.71819115,87.07687152,3,125.2340495,9.452736318,32.31885856,58.05233715,32.33090272,0,43.84329253,2.415458937,21.52455679,30.72608378,32.33090272,0,43.84329253,2.415458937,21.52455679,30.72608378
57,ch1,,,,,135.4028571,,92.57774894,1,117.3871495,6.153846154,86.20579664,119.0130478,128.2352743,2,153.9810594,10.66666667,88.26579664,138.1772079,92.57774894,1,117.3871495,6.153846154,86.20579664,119.0130478
58,ch0,42.60709344,0,61.85786876,27.8280543,110.8622834,108.6264153,149.8770217,5,206.60061,16.38554217,119.1354315,167.5193771,,,,,171.5385802,,42.60709344,0,61.85786876,27.8280543,110.8622834,108.6264153
59,ch1,1194.799667,2,1692.794593,7.00280112,149.0267365,497.9277067,1197.330361,2,1696.512141,7.887323944,88.49016854,437.6207972,1204.841149,2,1699.92238,7.303370787,85.42701744,440.6552908,1197.330361,2,1696.512141,7.887323944,88.49016854,437.6207972
60,ch0,115.3731444,3,161.7598392,8.35443038,64.0567215,100.3727312,120.3716731,7,173.2806657,9.32642487,63.86295456,106.9310823,215.6191136,7,299.7371493,9.239130435,73.57859079,148.7095645,115.3731444,3,161.7598392,8.35443038,64.0567215,100.3727312
61,ch0,77.561463,0,101.1965943,40.89635854,60.98834137,67.50332794,69.85251566,0,82.60038754,18.43575419,61.66925305,81.00369784,109.0309382,3,135.4712832,23.14285714,65.05982906,100.7836971,77.561463,0,101.1965943,40.89635854,60.98834137,67.50332794
62,ch0,28.65653899,0,27.73721707,9.633027523,12.3014816,22.27289829,39.5237995,0,46.21820117,0.69124424,10.28505747,26.35413427,27.55869064,0,22.61079998,0.689655172,10.69458505,26.60304811,28.65653899,0,27.73721707,9.633027523,12.3014816,22.27289829
63,ch1,134.8803211,4,184.2350581,49.01477833,134.2475609,160.5029639,154.1780405,5,207.9269397,53.06122449,113.2475609,146.9315193,168.3012958,7,225.9579549,52.98701299,115.9404145,158.7692263,154.1780405,5,207.9269397,53.06122449,113.2475609,146.9315193
64,ch1,,,,,10064.40909,,215.5177277,5,220.8840306,8.262108262,5071.702167,5182.646825,282.2697877,6,311.458541,8.163265306,5071.747622,5206.206506,215.5177277,5,220.8840306,8.262108262,5071.702167,5182.646825
65,ch0,58.42190352,1,80.84890509,20.90909091,44.8591091,54.40201462,103.967555,2,142.144787,11.42857143,51.26603325,82.44690904,56.14639143,1,77.46061227,5.949656751,43.50281456,59.94407148,58.42190352,1,80.84890509,20.90909091,44.8591091,54.40201462
66,ch0,48.18751336,0,65.33781057,6.434316354,34.71291209,47.01436198,106.4871503,4,151.3063319,6.336088154,38.9532967,74.61923698,85.53066519,1,112.6815156,8.539944904,36.80631868,63.7262536,48.18751336,0,65.33781057,6.434316354,34.71291209,47.01436198
68,ch1,,,,,5754,,24.36247829,0,26.3562229,0.72815534,2886.392389,2897.212678,93.36410284,3,124.1562322,10.75,2904.522823,2936.43381,24.36247829,0,26.3562229,0.72815534,2886.392389,2897.212678
69,ch1,332.6970533,18,387.311888,49.2795389,142.9022989,293.3036387,214.6672749,8,211.4775786,13.50649351,120.6639154,238.8391542,278.9906596,8,256.9449695,14.13333333,120.9139154,280.3654236,214.6672749,8,211.4775786,13.50649351,120.6639154,238.8391542
71,ch0,26.46313875,0,28.93646213,8.695652174,139.5966905,147.2437721,,,,,196.737785,,,,,,169.8621628,,26.46313875,0,28.93646213,8.695652174,139.5966905,147.2437721
72,ch2,41.64615121,0,30.24842049,8.26446281,19.17213115,41.5618407,54.81267243,0,43.52076413,8.130081301,18.3589231,47.34617281,47.38823211,0,36.76085766,7.37704918,15.23597228,40.55525097,47.38823211,0,36.76085766,7.37704918,15.23597228,40.55525097
